video_num,rater,awkward,connected,topics,laughter_genuine,laughter_present,laughter_who,gestures_present,gestures_describe,rater_know_person,rater_know_how,notes
38,1,20.0,84.0,0.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
39,1,90.0,28.0,65.0,,2.0,,1.0,The person on the right nodded,2.0,nan,nan
40,1,67.0,35.0,0.0,,2.0,,2.0,nan,2.0,nan,nan
41,1,72.0,26.0,61.0,3.0,1.0,3.0,2.0,nan,1.0,The person on the left was my floor mate and friend freshman year ,nan
42,1,74.0,22.0,0.0,,2.0,,2.0,nan,2.0,nan,nan
43,1,73.0,18.0,66.0,,2.0,,1.0,The person on the left nodded in agreement,1.0,The person on the left was my floor mate and friend freshman year,nan
44,1,16.0,59.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
45,1,20.0,75.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
46,1,100.0,16.0,77.0,,2.0,,1.0,The person on the left nodded slightly,2.0,nan,nan
47,1,17.0,86.0,100.0,5.0,1.0,2.0,1.0,"The person on the right nodded, and the person on the left nodded their head side to side in a ""maybe, maybe not"" kind of way",2.0,nan,nan
48,1,86.0,66.0,0.0,2.0,1.0,2.0,1.0,Each person nodded slightly,2.0,nan,nan
49,1,87.0,13.0,96.0,,2.0,,1.0,The person on the left nodded in understanding,2.0,nan,nan
50,1,96.0,4.0,0.0,,2.0,,2.0,nan,2.0,nan,nan
51,1,6.0,85.0,24.0,5.0,1.0,3.0,2.0,nan,2.0,nan,nan
52,1,59.0,54.0,92.0,,2.0,,1.0,The person on the left nodded,2.0,nan,nan
53,1,0.0,98.0,79.0,2.0,1.0,2.0,1.0,"The person on the left made an exaggerated expression of surprise, and the person on the right, hid her face behind her hand, seeming to imply embarrassment or awkwardness",1.0,They were both on my freshman floor and friends of mine,nan
54,1,59.0,59.0,98.0,,2.0,,2.0,nan,2.0,nan,nan
55,1,6.0,90.0,96.0,7.0,1.0,1.0,2.0,nan,2.0,nan,nan
56,1,21.0,46.0,61.0,,2.0,,1.0,The person on the right nodded their head to indicate agreement,2.0,nan,nan
57,1,15.0,71.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
58,1,19.0,86.0,65.0,,2.0,,1.0,the person on the right nodded ,2.0,nan,nan
59,1,32.0,65.0,71.0,,2.0,,2.0,nan,2.0,nan,nan
60,1,12.0,84.0,91.0,,2.0,,1.0,"The person on the left rolled their eyes in a ""here we go again"" type of way",1.0,The person on the left was my friend and floor mate freshman year,nan
61,1,62.0,31.0,0.0,,2.0,,1.0,"The person on the left shook their head and scrunched up their face, almost as if they were cringing",2.0,nan,nan
62,1,56.0,84.0,99.0,5.0,1.0,1.0,2.0,nan,2.0,nan,nan
63,1,28.0,70.0,71.0,,2.0,,2.0,nan,2.0,nan,nan
64,1,70.0,45.0,89.0,5.0,1.0,2.0,2.0,nan,1.0,The person on the right was my freshman trips leader,nan
65,1,0.0,91.0,77.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
66,1,71.0,80.0,69.0,8.0,1.0,1.0,1.0,"The person on the right covered their mouth with their hand, seeming to express regret at what they'd just said",2.0,nan,nan
67,1,5.0,99.0,85.0,8.0,1.0,3.0,2.0,nan,1.0,They were both on my floor freshman year and friends of mine,nan
68,1,10.0,70.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
69,1,7.0,83.0,99.0,,2.0,,2.0,nan,2.0,nan,nan
70,1,61.0,40.0,0.0,4.0,1.0,3.0,2.0,nan,2.0,nan,nan
71,1,13.0,30.0,98.0,,2.0,,2.0,nan,2.0,nan,nan
72,1,60.0,35.0,85.0,,2.0,,2.0,nan,2.0,nan,nan
73,1,18.0,76.0,87.0,,2.0,,1.0,The person on the left made an exaggerated expression appearing to shock or that something was bad,2.0,nan,nan
74,1,16.0,41.0,84.0,,2.0,,1.0,"The person on the right made a scrunched face expression, which seemed to indicate annoyance/frustration to do a task.",2.0,nan,nan
75,1,6.0,89.0,87.0,8.0,1.0,2.0,2.0,nan,2.0,nan,nan
76,1,63.0,46.0,88.0,,2.0,,2.0,nan,2.0,nan,nan
77,1,18.0,61.0,100.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
78,1,18.0,67.0,99.0,,2.0,,1.0,"The person on the left touched their head and gestured with their hands, seeming to imply ""what? why?""",2.0,nan,nan
79,1,61.0,81.0,97.0,,2.0,,2.0,nan,2.0,nan,nan
80,1,65.0,37.0,8.0,,2.0,,1.0,"The person on the right nodded, seeming to agree",2.0,nan,nan
81,1,33.0,62.0,4.0,,2.0,,2.0,nan,2.0,nan,nan
82,1,61.0,57.0,0.0,4.0,1.0,1.0,1.0,They looked to the camera with a raised eyebrow,2.0,nan,nan
83,1,13.0,70.0,87.0,7.0,1.0,1.0,2.0,nan,2.0,nan,nan
84,1,17.0,74.0,65.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
85,1,7.0,90.0,0.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
86,1,7.0,90.0,95.0,7.0,1.0,2.0,2.0,nan,2.0,nan,nan
87,1,17.0,20.0,63.0,,2.0,,1.0,"The person on the left made exaggerated facial expressions as if thinking or weighing options. The person on the right made an ""I don't know"" gesture with their hands.",1.0,"Both people were friends and floor mates of mine freshman year, and I've stayed friends with the person on the right",My context for the similar topic rating was that I know the person on the right worked in a lab with WISP and had a poster from a presentation she participated in from it. The person the left goes on to ask if she will continue working at that same lab.
88,1,18.0,65.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
89,1,55.0,58.0,70.0,2.0,1.0,1.0,2.0,nan,2.0,nan,nan
90,1,7.0,76.0,42.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
91,1,0.0,93.0,95.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
92,1,44.0,25.0,95.0,,2.0,,2.0,nan,2.0,nan,nan
93,1,64.0,17.0,13.0,,2.0,,1.0,The person on the right nodded,2.0,nan,nan
94,1,79.0,24.0,83.0,,2.0,,2.0,nan,2.0,nan,nan
95,1,54.0,69.0,100.0,7.0,1.0,1.0,2.0,nan,2.0,nan,nan
96,1,83.0,43.0,84.0,,2.0,,1.0,"The person on the right tilted their head and shrugged a shoulder, seeming to imply ""maybe"" or ""I guess so""",2.0,nan,nan
97,1,4.0,90.0,0.0,9.0,1.0,3.0,1.0,"The person on the left pointed to their palm with their pointer finger, and the person on the right copied them. It seemed to mean something to them, but I'm not sure what.",2.0,nan,nan
98,1,7.0,87.0,0.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
99,1,0.0,97.0,71.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
100,1,8.0,87.0,100.0,6.0,1.0,3.0,1.0,"The person on the right raised their eyebrows, smiled, and looked generally incredulous",2.0,nan,nan
1,2,61.0,55.0,68.0,,2.0,,2.0,nan,1.0,friends,nan
2,2,17.0,45.0,29.0,,2.0,,2.0,nan,2.0,nan,nan
3,2,2.0,71.0,94.0,7.0,1.0,3.0,2.0,nan,1.0,classmate,nan
4,2,55.0,41.0,80.0,,2.0,,2.0,nan,2.0,nan,nan
5,2,22.0,61.0,92.0,,2.0,,1.0,squeezing eyes,2.0,nan,nan
6,2,15.0,41.0,99.0,,2.0,,2.0,nan,2.0,nan,nan
7,2,0.0,80.0,100.0,,2.0,,2.0,nan,1.0,floormate,nan
8,2,7.0,82.0,83.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
9,2,61.0,35.0,33.0,,2.0,,2.0,nan,2.0,nan,nan
10,2,25.0,60.0,100.0,,2.0,,2.0,nan,2.0,nan,nan
11,2,1.0,34.0,38.0,,2.0,,2.0,nan,2.0,nan,nan
12,2,77.0,24.0,37.0,,2.0,,2.0,nan,1.0,writ 5 classmate,nan
13,2,10.0,62.0,90.0,,2.0,,1.0,exasperated sigh,2.0,nan,nan
14,2,41.0,42.0,13.0,,2.0,,2.0,nan,1.0,work colleague,nan
15,2,67.0,11.0,21.0,,2.0,,2.0,nan,2.0,nan,i think my rating of closeness is also influenced by posture of speakers in general
16,2,35.0,36.0,88.0,,2.0,,2.0,nan,2.0,nan,nan
17,2,22.0,59.0,83.0,,2.0,,2.0,nan,2.0,nan,nan
18,2,4.0,33.0,100.0,,2.0,,2.0,nan,1.0,coworker,nan
19,2,0.0,97.0,92.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
20,2,45.0,63.0,5.0,,2.0,,2.0,nan,2.0,nan,nan
21,2,79.0,19.0,0.0,,2.0,,2.0,nan,1.0,from past classes and freshman floor,nan
22,2,13.0,67.0,76.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
23,2,63.0,35.0,65.0,,2.0,,1.0,shrugged,2.0,nan,nan
24,2,63.0,39.0,20.0,2.0,1.0,1.0,2.0,nan,2.0,nan,nan
25,2,31.0,57.0,99.0,,2.0,,2.0,nan,2.0,nan,nan
26,2,62.0,63.0,8.0,,2.0,,2.0,nan,2.0,nan,nan
27,2,71.0,13.0,64.0,,2.0,,2.0,nan,2.0,nan,nan
28,2,28.0,58.0,78.0,4.0,1.0,3.0,2.0,nan,1.0,freshman floor mate,nan
29,2,30.0,35.0,29.0,3.0,1.0,3.0,2.0,nan,2.0,nan,nan
30,2,39.0,65.0,88.0,,2.0,,2.0,nan,2.0,nan,nan
31,2,61.0,45.0,13.0,,2.0,,2.0,nan,1.0,classmate,nan
32,2,61.0,14.0,54.0,,2.0,,2.0,nan,2.0,nan,im not sure what they were talking about because i cant hear any of the words so i left my rating as neutral
33,2,42.0,59.0,75.0,,2.0,,1.0,a shrug,2.0,nan,nan
34,2,66.0,24.0,14.0,,2.0,,2.0,nan,2.0,nan,nan
35,2,65.0,14.0,5.0,,2.0,,2.0,nan,2.0,nan,nan
36,2,11.0,64.0,89.0,,2.0,,1.0,exaggerated mouth/teeth expression,1.0,both were on my freshman floor,nan
37,2,74.0,24.0,0.0,,2.0,,1.0,slight nodding,2.0,nan,nan
38,2,42.0,59.0,2.0,7.0,1.0,3.0,2.0,nan,1.0,floormate,nan
39,2,74.0,30.0,74.0,,2.0,,2.0,nan,2.0,nan,nan
40,2,56.0,57.0,18.0,,2.0,,2.0,nan,1.0,friend,nan
41,2,58.0,58.0,100.0,7.0,1.0,3.0,2.0,nan,1.0,ex-classmate,nan
42,2,66.0,39.0,5.0,,2.0,,2.0,nan,2.0,nan,nan
43,2,80.0,15.0,95.0,,2.0,,2.0,nan,1.0,classmate,nan
44,2,40.0,36.0,73.0,,2.0,,2.0,nan,2.0,nan,nan
45,2,23.0,38.0,97.0,,2.0,,2.0,nan,1.0,freshman floormate,nan
46,2,75.0,25.0,74.0,,2.0,,2.0,nan,2.0,nan,nan
47,2,63.0,39.0,86.0,6.0,1.0,2.0,1.0,head motion from side to side with slight hand motion. It felt like she was saying 'eh not really' in response through this gesture,2.0,nan,nan
48,2,63.0,39.0,41.0,3.0,1.0,2.0,2.0,nan,2.0,nan,not 100% sure who laughed 
49,2,65.0,30.0,80.0,,2.0,,1.0,nodding,1.0,"classmate, coworker",nan
50,2,97.0,10.0,10.0,,2.0,,2.0,nan,1.0,classmate,nan
51,2,3.0,67.0,61.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
52,2,7.0,66.0,61.0,,2.0,,2.0,nan,2.0,nan,nan
53,2,2.0,100.0,79.0,8.0,1.0,3.0,1.0,exaggerated facial expression of surprise,2.0,nan,its hard to tell when the gap starts since theres laughter and talking at the same time
54,2,56.0,64.0,74.0,,2.0,,1.0,exaggerated eyebrow raise ,2.0,nan,nan
55,2,1.0,69.0,98.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
56,2,41.0,57.0,72.0,,2.0,,2.0,nan,2.0,nan,nan
57,2,25.0,69.0,93.0,,2.0,,2.0,nan,2.0,nan,nan
58,2,39.0,38.0,77.0,6.0,1.0,1.0,2.0,nan,2.0,nan,nan
59,2,57.0,31.0,95.0,,2.0,,2.0,nan,2.0,nan,nan
60,2,1.0,96.0,67.0,,2.0,,2.0,nan,2.0,nan,nan
61,2,72.0,30.0,29.0,,2.0,,1.0,nodding 'no',2.0,nan,nan
62,2,8.0,73.0,91.0,5.0,1.0,1.0,2.0,nan,2.0,nan,i dont see a face expression but the other speaker makes a remark about one
63,2,33.0,62.0,25.0,,2.0,,2.0,nan,2.0,nan,nan
64,2,59.0,47.0,98.0,,2.0,,2.0,nan,1.0,freshman floormate,nan
65,2,1.0,72.0,83.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
66,2,40.0,74.0,30.0,7.0,1.0,1.0,2.0,nan,2.0,nan,nan
67,2,0.0,93.0,75.0,7.0,1.0,3.0,2.0,nan,1.0,prospie,nan
68,2,34.0,62.0,95.0,,2.0,,2.0,nan,2.0,nan,nan
69,2,34.0,44.0,88.0,,2.0,,2.0,nan,2.0,nan,nan
70,2,40.0,61.0,73.0,5.0,1.0,3.0,2.0,nan,2.0,nan,nan
71,2,10.0,75.0,99.0,,2.0,,2.0,nan,2.0,nan,nan
72,2,66.0,46.0,86.0,3.0,1.0,2.0,1.0,expression of distaste,2.0,nan,nan
73,2,62.0,38.0,77.0,,2.0,,1.0,exaggerated facial expression (left person),2.0,nan,nan
74,2,60.0,40.0,39.0,,2.0,,2.0,nan,2.0,nan,nan
75,2,10.0,66.0,69.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
76,2,38.0,59.0,98.0,,2.0,,2.0,nan,2.0,nan,nan
77,2,5.0,58.0,64.0,4.0,1.0,3.0,1.0,hand gesture with accompanying sound,2.0,nan,nan
78,2,43.0,47.0,95.0,,2.0,,1.0,"exaggerated hand gestures ,communicate confusion and frustration",1.0,took a class together,nan
79,2,72.0,59.0,98.0,,2.0,,2.0,nan,2.0,nan,nan
80,2,63.0,30.0,25.0,,2.0,,1.0,nodding,2.0,nan,nan
81,2,7.0,62.0,59.0,,2.0,,2.0,nan,2.0,nan,i couldnt hear clearly what was said before the gap
82,2,61.0,70.0,9.0,4.0,1.0,1.0,1.0,questioning eyebrow arch,2.0,nan,nan
83,2,29.0,58.0,92.0,5.0,1.0,3.0,2.0,nan,2.0,nan,nan
84,2,5.0,44.0,85.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
85,2,15.0,70.0,31.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
86,2,2.0,91.0,98.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
87,2,4.0,80.0,67.0,,2.0,,1.0,exaggerated eyebrows and eye expression,1.0,prospie ,nan
88,2,19.0,63.0,82.0,,2.0,,2.0,nan,1.0,we have mutual friends,nan
89,2,69.0,32.0,41.0,1.0,1.0,3.0,2.0,nan,2.0,nan,"not sure if 'hehe' counts as laughter, but i counted it "
90,2,2.0,68.0,99.0,7.0,1.0,3.0,2.0,nan,2.0,nan,nan
91,2,0.0,94.0,81.0,8.0,1.0,3.0,2.0,nan,2.0,nan,nan
92,2,43.0,37.0,23.0,,2.0,,2.0,nan,2.0,nan,nan
93,2,75.0,23.0,7.0,,2.0,,2.0,nan,2.0,nan,nan
94,2,34.0,45.0,74.0,,2.0,,2.0,nan,2.0,nan,nan
95,2,41.0,58.0,77.0,4.0,1.0,1.0,2.0,nan,2.0,nan,nan
96,2,76.0,25.0,66.0,,2.0,,2.0,nan,2.0,nan,not 100% sure what i head them saying wrt to the on topic question
97,2,40.0,62.0,17.0,5.0,1.0,3.0,1.0,points into palm,2.0,nan,nan
98,2,2.0,73.0,7.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
99,2,0.0,93.0,88.0,9.0,1.0,3.0,2.0,nan,2.0,nan,nan
100,2,14.0,65.0,98.0,6.0,1.0,3.0,2.0,nan,2.0,nan,nan
