subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
25,201,69,80,49,66,74,75,11,68,89,89,92,68,81,34,95,3.5,,91,95,1,-0.30819952895926395,-0.08728965162776647,1.3350186765703012,-0.5362528040375384,0.3285993879663978,0.4921132322249537
201,25,83,85,62,89,62,98,85,69,88,17,90,76,68,67,93,3.5,,95,75,1,-0.013250001515468204,0.35653055087627394,-0.6534593525079938,0.5211825228771604,-0.28918299029541683,-0.5730398711209757
30,202,96,97,58,95,100,86,60,92,97,64,84,94,75,73,88,1.5,,100,91,1,0.09297361448876527,0.8477304022183141,0.7137072414467587,0.7348233583925844,0.55254981832632,0.39730883097610303
202,30,77,82,50,76,31,74,75,68,68,64,85,67,73,69,75,1.6,,73,67,2,-0.5043799638653729,-0.5330855870213683,-0.5224139690161139,0.17857867125812896,-0.09114544301203242,0.5668676884265894
101,203,92,99,56,62,78,80,26,59,80,42,74,44,65,36,84,1.0,,51,52,2,0.3344902484989446,-0.2543775721847249,-1.423447888660199,-0.7583382301486684,-0.4829395359038426,-0.5387800433890718
203,101,83,86,53,36,72,64,2,36,64,69,82,70,69,65,91,0.6,,50,42,2,0.16060597249518682,-1.6002356743400208,-1.781144130671634,0.14411036375587707,-0.9825434099228064,0.5657264009090214
101,204,98,99,51,65,91,69,44,71,89,73,89,45,66,58,88,0.8,,83,70,2,0.47011424461111234,-0.1996026437670855,-0.24958804539125515,-0.9667660117010042,-0.12341059269693255,0.48309212203743285
204,101,83,86,74,57,11,50,30,43,66,69,92,78,57,74,87,0.7,,78,69,2,-0.04983862343220918,-1.6097095934986863,0.33708274177086206,0.48217965586328865,-1.2759901669154126,0.5344645039701273
67,205,99,99,51,100,74,99,5,99,98,67,100,100,99,64,100,2.0,,100,82,1,0.8407678528270582,0.4889171846527313,-0.44473032483580854,0.9784842481361783,1.1089949300401545,0.41216726687565114
205,67,98,100,62,38,37,76,10,79,92,70,71,77,75,55,66,2.6,,92,87,1,0.09787733734924986,-1.27409656571904,0.7025391906263854,0.2974189861619335,0.42441650009427173,-0.07543334761911004
206,49,85,100,38,90,85,100,7,91,100,33,100,90,67,33,100,4.0,,100,100,2,0.5548437366952446,0.6776443220049901,1.1189973247361857,-0.14260761010834466,0.7256893391372015,-1.0295055644267699
49,206,100,100,65,100,100,72,0,51,100,66,100,55,90,40,100,3.5,,100,90,2,0.821911619737059,1.2168772127091954,-0.0017950414509720748,-0.6326418623695756,-0.6531555171630637,-0.10059112535152126
101,207,91,67,66,93,83,57,58,67,77,44,82,67,64,40,86,0.7,,49,31,2,-0.6106360698635914,0.5478691342503261,-2.5864407533065257,0.432346832507191,0.14546921573816732,0.07246257285094296
207,101,63,76,97,89,72,0,0,51,64,61,74,95,80,63,77,0.5,,50,34,1,-1.1414256029198204,0.23064380183903668,-2.115588256525199,2.1180639466381095,-0.37728673809132934,0.6544371762104688
25,208,94,100,74,76,76,77,16,90,100,83,100,92,83,88,90,3.5,,100,100,1,0.4182352350613249,0.03638018374158369,1.0693634887174883,0.8664559222470645,0.5264460941021374,0.8315235295714201
208,25,95,95,20,79,89,84,50,75,88,89,89,60,75,32,100,4.0,,100,90,1,0.5501762442310636,0.1841632050081892,0.26691077339546776,-1.2991568077402131,0.4084152571629139,0.3750864924072598
25,209,73,31,60,79,72,78,0,82,69,6,21,80,37,29,18,3.6,,68,70,1,-4.056596495106679,1.3343932392976456,0.08288137312716051,1.0651868268191402,1.4077547520383455,-1.3506395299052592
209,25,100,100,48,63,54,65,17,100,100,0,76,93,90,0,78,4.0,,21,33,1,0.7706077535054102,-0.24879570298044404,-3.224958709148227,0.9817312705796166,1.742425401440515,-2.1261114762917
67,210,85,95,56,88,71,97,6,71,90,52,85,86,81,60,96,2.0,,74,74,1,0.3143810262694201,0.4104719976791002,-0.5107502893780144,0.5267221042558446,0.07675328285974463,-0.010086527823861673
210,67,89,76,34,55,47,87,0,65,64,71,87,56,59,14,96,2.5,,65,78,1,-0.06778152466870746,-1.1877245901180267,0.6637372160832693,-1.1987972687887325,-0.03260829717751891,-0.24570955624283639
21,211,81,81,49,77,26,76,7,83,71,33,83,31,70,42,82,1.5,,88,88,1,-0.4635561523490536,-0.4234883971686621,1.1577914450673032,-1.0531012873858516,0.2559676350648649,-0.602414364449141
211,21,88,75,82,33,19,73,55,33,62,41,64,75,66,44,62,2.0,,92,71,1,-0.7894590601828884,-1.8801099179987104,0.03787871731300631,0.827288331104832,-1.3822551990567522,-0.626153247737337
21,212,91,92,51,93,92,60,2,74,76,35,85,66,74,80,91,1.5,,82,67,1,0.037852099609393196,0.484355602920807,-0.908899315932417,0.2868251537972574,0.026124760997979626,0.007109690236830546
212,21,100,100,51,75,76,95,20,59,84,94,100,68,77,29,91,2.0,,100,68,1,0.8639152852036674,-0.25524172834707837,-1.1159824295050187,-0.5266794834116079,-0.3069310683296973,0.5239622662394743
21,213,93,89,74,88,73,83,56,32,79,58,71,68,63,92,85,1.5,,91,93,1,-0.35201367395684224,0.5271684932722037,0.9622328932229949,0.18342210169455608,-1.835260899502129,0.3970698679340429
213,21,95,100,27,26,0,84,18,86,69,100,100,74,59,24,94,1.5,,91,68,1,1.0588895935220217,-3.052044206780662,0.03872947610626372,-0.8179165920930526,0.5800972360009503,0.4646886081121153
67,214,100,95,59,100,97,92,3,96,97,56,99,97,93,54,100,3.1,,93,97,1,0.5654564093938953,0.8628743860400887,0.6946961143398721,0.8072328652772247,0.8722113842496187,-0.1392360927912786
214,67,97,99,51,70,66,86,0,78,82,74,85,83,82,67,99,3.0,,85,100,1,0.5462639121303983,-0.4860244101749671,1.2652522673320974,0.17523808542011646,0.0971740983552872,0.2627486871785517
30,215,92,94,78,89,88,81,61,38,58,39,76,100,90,71,99,1.5,,92,93,1,0.17829108138718328,-0.06704853584144921,0.7464002053186839,1.5229262794259704,-1.834821141492092,-0.32161669035780616
215,30,91,88,24,84,52,49,10,92,95,81,96,66,67,87,86,1.7,,95,85,2,-0.036356702844423244,0.07084975087367636,0.7047885467184576,-0.5935654559643946,1.096477979327202,1.0505487420284145
4,216,96,100,46,93,95,99,59,94,92,97,98,95,84,68,100,2.0,,51,74,1,0.7068722558645238,0.5518044459424111,-0.5078755811205931,0.4031473712487029,0.8102225266347388,1.129195643453246
216,4,100,100,62,100,84,100,27,74,100,81,78,100,75,98,90,2.1,,41,67,1,0.32432911306101964,1.142366229133826,-1.1940897522462368,1.0018758014720481,0.16283766571039338,1.0409425228111666
217,63,76,51,51,57,17,73,0,100,63,63,100,64,40,52,74,0.3,,50,42,1,-1.3139604192683942,-1.4404356412079085,-0.8373660223885878,-0.01786454958726246,1.3946117826126059,0.6678457535707195
63,217,96,100,71,48,38,84,70,46,80,2,95,84,81,12,98,0.2,,50,57,1,1.2486827932822024,-1.5513484206632224,-0.6072279392622814,0.5623501507581808,-1.2407659895547973,-1.9315015722866524
218,63,100,100,51,100,79,88,0,88,100,90,98,88,100,95,99,2.1,,55,84,1,0.7480260475474413,0.8348925217268833,-0.13848803224192494,0.5592607393091872,0.7481875107303172,1.2183200031799715
63,218,95,83,54,75,58,87,80,51,49,30,78,100,63,72,86,1.8,,67,81,1,-0.24693274236818216,-0.8107326145869732,0.421019861989983,1.1123459654484562,-1.234190464330046,-0.5131308503091007
110,219,79,87,71,80,76,66,0,63,75,29,66,65,63,30,67,0.7,,100,67,2,-0.8212901268842515,0.33524609525932136,-0.37836787319454335,0.3249234330456155,-0.2573876633660483,-0.8351813133065581
219,110,88,89,48,75,54,67,12,73,82,65,91,76,78,41,86,0.7,,100,66,2,0.16778201455814035,-0.46488365772213486,-0.5671617117830464,0.14119882587037363,0.3233798230300601,0.18203589415314314
110,220,69,71,69,66,82,73,0,82,82,81,94,64,64,34,71,0.6,,100,53,2,-0.9839406364610327,-0.16249157947004012,-1.0388124459036505,0.11894454652756511,0.8615801901935226,0.7998387519266494
220,110,100,100,51,90,90,90,10,83,84,67,87,85,84,68,89,0.5,,100,74,2,0.4720388950915175,0.2682052268708467,-0.6149869418148034,0.5789036692620098,0.3647084504779799,0.4896645597128155
110,221,26,25,78,36,39,68,0,12,33,25,33,60,41,58,35,0.7,,75,44,2,-4.130893938960604,-0.972457966371093,-0.8153759337574635,1.0338866666892115,-1.307553773425129,-0.03721403674072035
221,110,100,100,34,88,76,54,0,100,100,79,100,77,100,75,100,0.7,,100,81,2,0.8789092312992405,0.10374746800651391,0.06714158527020325,0.10548967417001197,1.3145773961748686,0.8873018420189819
5,222,92,94,50,98,97,100,25,50,86,83,100,50,76,40,99,2.3,,51,79,1,0.5123804112232334,1.093848311950204,-0.1649504231117409,-1.2266004130223582,-0.7558688491820933,0.39347916717673737
222,5,91,100,64,88,74,84,2,100,100,30,95,93,94,28,99,2.0,,27,69,1,0.7937427803372589,0.5138294954133905,-0.36265395641593773,0.8070887410303215,1.1162391531346891,-1.049049373704125
5,223,85,86,67,99,99,94,4,68,96,6,97,64,84,71,100,3.0,,96,91,1,0.11236546666365925,1.2011127026599713,0.329271992438193,0.2580872190917642,-0.2542450922603583,-0.8513098194048785
223,5,96,100,58,88,70,85,7,65,66,27,77,74,80,23,88,1.9,,85,73,1,0.40302256462151204,0.0009345909876270939,-0.6404558437191478,0.3092284209143348,-0.4614679850869823,-1.1900226047839702
63,224,91,79,25,47,28,63,27,30,63,94,92,41,51,39,80,0.2,,50,43,1,0.03872192665006579,-1.5402019951383437,-1.4145775656373747,-1.66747049057174,-1.0009445658511027,0.8027006238944583
224,63,91,91,55,62,39,71,13,85,92,37,86,77,71,85,100,0.5,,68,34,2,0.6136418539761658,-1.0345458358584216,-2.6419718559212355,0.7866159093602662,0.6681072540916466,0.3300263128267999
49,225,85,83,82,87,85,62,0,41,72,90,100,63,52,41,100,4.0,,100,90,2,-0.17040113780372043,0.272320429426657,0.8366312491072985,-0.4587436945961089,-1.3250625501767002,0.5308413183823528
225,49,78,70,35,89,47,69,0,100,71,20,100,44,46,37,100,4.1,,100,82,2,-0.507884171847849,-0.11125745493342443,0.5328664669497758,-1.0626980334226794,0.9888596479667633,-0.7903983013658216
49,226,100,74,100,100,100,50,0,30,70,3,100,100,57,79,100,4.0,,100,90,2,-0.2705752059967773,0.652174512627318,0.6132377906292505,1.6604592231509439,-1.982621174839124,-1.0464364492669782
226,49,99,99,7,94,65,82,0,97,95,2,98,94,91,5,97,3.6,,100,100,2,0.9322406251405633,0.3960117061629117,0.9970807515604729,-0.17105533491294622,1.3063629673890655,-2.200784703639083
227,86,89,88,67,97,96,98,10,93,90,33,80,78,77,49,77,2.4,,100,100,2,-0.5148038856637496,1.1479093063808343,1.2293206851279441,0.5179307263162596,0.6368370564652506,-0.6858756609300924
86,227,96,86,51,86,88,87,9,100,88,73,94,87,76,66,100,2.6,,72,88,2,0.14528369848967265,0.26370661116093647,0.697101185958377,0.35298373667182437,1.03502333601487,0.5206340804641111
5,228,85,87,69,94,80,78,1,78,94,80,100,56,80,90,100,3.0,,80,91,1,0.030753918631542514,0.7721276540524642,0.6225979542908265,-0.21248598665423551,0.1561962491875262,1.0971556684637465
228,5,95,97,51,68,43,77,36,62,89,100,100,68,71,100,93,1.8,,40,80,1,0.5818526381697996,-0.5064477628630571,0.4346026486439848,-0.3962394258197023,-0.406694379456879,1.4188020316781773
50,229,100,100,50,77,78,49,18,74,76,51,100,100,80,44,100,1.0,,94,76,2,0.8729203170752229,-0.64753169253808,0.13913918562753677,0.7761838637580266,-0.02299342350527468,-0.34575390816754675
229,50,98,90,53,90,67,68,0,95,96,47,92,85,82,63,95,0.7,,81,49,2,0.479106930703553,0.1648999460706062,-1.9529048997284402,0.8274575512707902,1.153893908374478,0.20767801545588477
50,230,100,100,89,98,100,52,39,88,80,48,100,100,100,52,100,5.0,19,100,100,2,0.615002952572768,0.4529503335624057,0.6480339104891262,1.6113921174792671,0.14289169178732505,-0.4512463865477045
230,50,76,75,24,66,68,69,0,75,72,29,64,36,38,13,65,5.0,,100,100,2,-1.3844304736209536,0.20280406367275208,1.6904102836723054,-1.7807556823826622,0.46447795797016606,-1.3732361997430127
50,231,100,100,78,97,94,41,61,59,77,45,100,100,92,69,100,2.0,,86,90,2,0.6807507238615185,0.30415175611142736,0.685497809844915,1.3793169703358341,-0.9337596225318023,-0.22678254478219043
231,50,96,98,42,85,55,72,11,89,98,49,100,46,65,43,96,1.7,,78,85,2,0.6369354707968423,0.21533372055942832,0.8212087725677367,-1.2655056965883495,0.5356055305639126,-0.3761135417060615
48,232,100,100,89,100,55,91,54,35,69,88,99,98,89,100,100,2.0,,100,100,2,0.6618990014181035,-0.024077897003733625,0.8202288510555531,1.3058448527080815,-2.0443580983242304,1.104762465163448
232,48,83,75,34,99,69,96,0,91,80,100,100,27,45,34,81,2.0,,100,86,2,-0.7504077545504406,0.8189907870796708,0.7884991827324647,-2.162943949898362,0.8502874116303781,1.0033567592568835
233,107,78,98,44,85,87,85,72,96,96,79,87,84,77,89,98,0.6,,100,67,1,0.25280245224129694,0.23653704983405302,-0.7927630781274955,0.4819801328266089,0.8915238281110341,1.3470651550700996
107,233,100,100,54,82,87,84,17,100,100,100,100,100,100,100,100,0.7,,77,81,2,0.8130467524222562,0.025821966246700023,0.02877913256813514,1.0453472603690463,1.1051425576471505,1.6363156411778168
107,234,81,77,51,89,75,100,74,34,74,77,82,32,60,81,91,1.0,,86,100,2,-0.6485379732989238,0.6304806274911302,1.7547812824077345,-1.4931942292164608,-1.684592814878632,0.928349717868995
234,107,100,84,50,31,14,96,77,100,76,64,100,95,75,66,100,1.0,,87,93,1,0.6227821495801659,-2.7658582752318743,1.9454603026109971,0.6237424027695927,0.6379434108670913,0.21472627543203873
8,235,89,90,19,100,99,100,12,89,84,34,100,86,79,24,100,1.0,,100,85,1,0.40846468537684794,0.6856323157740101,0.4136977666337957,-0.23869197085566707,0.8066171066600601,-0.7941980349579132
235,8,91,92,78,90,93,92,53,33,83,65,98,77,75,70,97,2.0,,100,71,1,0.4122776502251171,0.4709044066198973,-0.9950402704087068,0.4662564651727163,-1.5968735787655894,0.5192482557534303
48,236,100,100,36,100,100,100,76,85,100,77,100,68,72,69,100,2.5,,100,100,2,0.6518031973351814,1.0157183872982078,0.9955315226747706,-0.7692731450501239,0.266433354893466,0.6117470904995271
236,48,100,100,48,100,92,50,0,80,100,10,100,63,82,23,100,3.0,,100,100,2,0.7644536371272798,1.019505281923787,1.335758301957198,-0.5394102225287896,0.24833657225512526,-1.695823735056393
29,237,80,87,59,85,84,76,0,73,86,66,68,66,70,67,71,3.0,,78,81,1,-0.8350720445496671,0.8868621861407648,-0.026819018927004053,0.09086365685356641,0.3256457345309089,0.3588624387136923
237,29,87,94,74,92,95,100,51,40,87,63,68,85,41,64,61,3.0,,76,79,1,-0.8085675683350938,1.3930460963774933,-0.2304278986014634,0.33091363377279986,-1.2218344923405056,0.036381160325217134
29,238,86,83,36,82,82,79,0,82,84,62,85,76,75,39,67,2.0,,63,69,1,-0.5415164631775601,0.5749493667137685,-0.5507595752547153,-0.05655352893408073,0.9861677082698719,-0.045448310727065566
238,29,100,100,54,79,59,100,0,52,100,0,100,51,90,0,100,3.0,,50,67,1,1.3304330485591072,0.31716370484181994,-1.0695061613668913,-0.8329076796848631,-0.5251476880655297,-2.1909258331888215
86,239,73,83,30,81,78,74,0,68,71,73,100,68,69,65,100,2.0,,91,93,2,-0.17407106185571972,-0.09003875293684281,1.2770972478412692,-0.6257386011871069,-0.023808731361764403,0.6101155288959714
239,86,97,96,71,100,97,95,0,73,82,36,100,100,76,100,100,2.6,,100,100,2,0.3744363973743023,0.6358118873560784,0.8972338568045066,1.279408380321952,-0.46673560451935164,-0.023434364129115565
11,240,93,100,31,87,74,78,6,61,100,88,90,42,89,86,90,3.0,,71,67,1,0.613952332722085,0.7497613911653429,-1.641233311855112,-1.0850263598056527,0.15195850183231466,1.2011281165272842
240,11,89,89,51,78,73,92,2,65,85,39,89,47,65,68,95,1.8,,75,68,1,0.20557004937486356,0.1371924655190449,-0.7119586746625126,-0.6645270874821442,-0.26979032533924363,-0.08408547874757413
11,241,99,100,50,94,22,90,0,50,100,100,94,60,76,94,100,3.0,,64,67,1,0.9055141946768616,0.30685081738857106,-1.4513195976403745,-0.5755781487183614,-0.529417997181245,1.4622978257714294
241,11,74,77,59,56,40,72,0,64,57,58,61,57,53,56,76,2.5,,72,63,1,-1.026363113259905,-1.002808167013494,-0.5609109396271911,-0.03824548062178224,-0.18729298457463764,0.16764739370630058
29,242,64,74,47,75,76,77,0,78,80,65,75,70,61,84,78,3.0,,74,85,1,-1.2825235600561926,0.38374114257758274,0.7203823039796678,0.05329844962384387,0.5761291531568323,0.7059420772295281
242,29,55,64,76,81,60,65,46,44,63,56,53,82,58,60,72,2.5,,73,79,1,-2.032210409027892,0.3888922276016876,0.6855666922424433,0.9033167186854958,-0.8272529344616935,0.23181041819395987
8,243,67,65,46,73,62,66,20,95,61,65,52,60,61,58,79,1.0,,100,81,1,-1.7511692333599784,-0.3214668110898724,1.0033517296024486,0.029095189604689292,0.9912605776624375,0.6153272547619795
243,8,83,100,61,100,100,100,9,66,100,58,100,93,100,62,100,3.0,,100,95,1,0.5945777501279483,1.1406374687832597,0.2713113705543675,0.7094670308009325,-0.09441256878592211,0.06998808184323249
8,244,100,100,65,86,67,100,19,99,97,95,100,87,95,84,100,3.0,,100,94,1,0.7808279564703026,0.019182112050831226,0.34296845214256827,0.6838096801158076,0.8511835362743856,1.205496134073872
244,8,92,99,51,93,77,100,8,70,100,22,100,74,75,27,100,3.0,,89,94,1,0.7501254248002724,0.7800470531370031,0.7922860742222327,-0.36859858885110497,-0.11921126984784707,-1.348122355844809
245,30,100,100,50,69,39,34,7,100,100,72,100,100,100,31,100,1.0,,100,69,2,1.1339882618438903,-1.0265444189278574,-0.24375727780705653,0.8759251895326172,1.4293553465310538,0.06292517790210987
30,245,98,100,72,96,95,83,72,95,96,36,94,98,95,68,95,1.0,,91,87,1,0.5865493319289814,0.6062108862225977,0.44523965419435135,1.3687692770681195,0.44904361733407033,-0.2645898563617132
44,246,98,96,41,88,46,53,7,53,98,72,75,64,73,56,95,1.7,,100,71,2,0.4572907248942851,0.268039513367043,-0.6017266044029241,-0.5271664690966222,-0.2746086640857103,0.36556251306477855
246,44,67,65,49,35,26,59,0,79,62,63,74,43,45,37,90,1.6,,98,51,2,-0.9240076745201489,-2.07807960148678,-0.6799047082529731,-0.6993475584861638,0.5713782531744169,0.39810414609986294
247,66,81,80,61,100,82,87,85,33,67,41,76,75,62,25,75,2.0,,98,96,2,-0.8558017887225298,0.9670588552883216,1.302161152735406,-0.06974095832563282,-1.5992175159519595,-0.8151827871593945
66,247,65,100,37,100,67,53,56,68,77,63,100,42,56,38,100,2.4,,100,100,1,0.06179673491671169,0.6095075655552621,1.8620501493355925,-1.6579004624327178,-0.4946109781901374,-0.019989789830781618
11,248,75,68,28,76,89,78,0,51,73,39,50,30,31,17,51,1.0,,43,39,1,-1.8089697668239217,1.0434846745666244,-1.8775952239630322,-1.6345095024994833,0.06322241221668469,-0.6074232787018924
248,11,62,67,96,68,35,70,59,54,64,64,80,71,65,89,78,3.0,,59,67,2,-1.323790109012841,-0.549496527725142,-0.2922066477470465,1.1033681090734513,-0.7757815165815684,0.8924674127142553
66,249,100,100,50,100,100,100,0,37,100,80,100,53,100,39,100,2.8,,3,66,1,1.0805681433816399,1.5907231191359112,-1.3921212843255575,-1.0513741784080817,-0.7955634994476836,0.16027369085226273
249,66,94,94,52,81,60,83,0,37,85,18,84,60,45,25,73,3.0,,14,33,1,0.20100474801730786,0.619994134660648,-3.0017454721425287,-0.5947153393801198,-0.8631336758254511,-1.3778705201023411
66,250,100,100,51,63,37,100,0,77,100,66,100,76,100,84,100,2.0,,1,67,1,1.2211484434333844,-0.5567000276046734,-0.6970928677800154,0.17830499646650802,0.4165814797995518,0.3923686244670446
250,66,93,92,59,52,49,59,0,52,61,35,98,64,66,14,96,1.8,,15,46,1,0.7415271283403995,-1.4035032827369849,-1.286151582834597,-0.2913396640750332,-0.7419263948441656,-1.12022007492606
86,251,100,100,53,95,80,86,0,79,96,81,100,73,81,70,100,2.5,,60,93,2,0.7050971771477917,0.7295736828683548,0.8043533809580451,-0.29167513790504934,0.19872910285592874,0.5574819644090895
251,86,98,100,60,100,12,93,0,87,90,21,98,79,81,22,98,3.1,,100,95,2,0.8598993446801255,0.007398536301144886,0.8208206018567605,0.1709897686814163,0.2829254929830741,-1.4691348583662016
44,252,91,91,45,89,46,53,9,55,81,80,75,49,59,42,91,1.6,,66,82,2,-0.07438523165973154,0.3012812772022905,0.8131652174910509,-1.222623699035965,-0.5247407616807581,0.26205709216597706
252,44,84,84,46,64,70,50,30,58,62,44,84,55,51,73,83,1.2,,73,71,2,-0.42290461723609923,-0.6731359661394646,0.23558879977333919,-0.4426909296802942,-0.6562033812953761,0.027110863895026076
44,253,100,99,49,43,46,59,42,73,74,57,77,61,65,56,91,1.7,,59,59,2,0.6291822839499095,-1.635940271527107,-0.775212725373712,-0.268644911753846,-0.0710387041062053,-0.05636689884415454
253,44,94,78,58,77,63,53,49,63,65,53,99,70,65,66,99,2.0,,74,58,1,0.10478177531752904,-0.6913859613816234,-1.0414981531105505,0.26922707950710884,-0.42562331720178675,0.32591804959263365
23,254,100,88,51,85,100,100,50,100,100,18,87,100,90,34,100,1.0,,100,100,1,0.37337827142896696,0.43134072568986753,1.674982731515441,0.8149929245866441,0.9181637620961579,-1.2005559627626983
254,23,99,100,39,91,93,100,86,12,99,95,100,38,81,72,100,1.5,,100,86,1,0.9724841831710416,0.9350688955427654,-0.18507382635681915,-1.7673678255820977,-2.1025243920376613,1.1113516589073602
85,255,92,100,51,92,88,89,12,90,100,60,100,91,75,30,100,1.7,,94,79,2,0.7192244395731984,0.5514946908541006,0.03866764540871791,0.17767380017846165,0.7387781442647358,-0.23022876283346808
255,85,85,87,54,75,76,57,19,74,80,73,88,87,87,60,97,1.2,,100,69,2,0.1372636540540462,-0.4219783436783999,-0.4903929280413446,0.7423354835539243,0.3210460772027687,0.6704335816577617
85,256,81,91,51,93,83,97,77,89,96,11,83,56,70,5,91,5.0,I've known her for 7 years,84,93,2,-0.02803794986611609,1.1056893027701573,0.6317060081207275,-0.7297295503418054,0.5417351186071414,-1.7512196176797796
256,85,70,71,54,61,46,62,41,77,73,58,73,73,70,61,75,5.0,ABOUT 7/8 YEARS,84,83,1,-1.1426691643488915,-0.534856546644984,0.30968918488597885,0.4027991491090986,0.5663501570955829,0.15997015040435134
23,257,74,64,52,70,17,81,82,27,56,33,72,33,35,32,76,1.0,,100,68,1,-1.1957813698773074,-0.7265685425539894,0.19066968078103794,-1.2512141684990385,-1.7512280300962524,-0.5402596717684851
257,23,63,73,56,60,58,79,80,51,58,33,68,36,44,25,72,1.0,,100,74,2,-1.3025984133769801,-0.588333328010253,0.6483459509411996,-0.994148271027956,-0.9535404287699139,-0.6399500206659893
4,258,98,98,34,98,92,94,86,89,89,91,92,94,75,38,100,3.1,,100,97,1,0.5325443964087557,0.6025196746377514,0.8612150136253413,-0.12594580958161436,0.5613932758455277,0.4733040993485187
258,4,100,100,51,70,37,67,0,100,100,67,100,100,100,100,100,2.0,,100,100,1,0.9080801813715906,-0.8524637984068553,1.3351181606883515,1.1004933100279597,1.0346143865041248,0.636980322274969
107,259,100,100,57,89,92,86,28,69,97,86,100,82,74,92,100,0.7,,80,87,2,0.6803023794330434,0.486980249170399,0.6349860928165535,0.10062408902572395,-0.2962230321754473,1.1084767290595856
259,107,95,83,46,41,71,84,7,96,92,59,97,58,38,16,82,0.6,,100,68,1,0.01266359092102893,-1.174437364403644,0.47641768982364613,-1.0538265786170338,1.0129880573723435,-0.34994007514361364
23,260,100,86,51,100,59,100,72,100,100,25,100,100,100,22,100,1.0,,100,100,1,0.5720549209826173,0.4183043036234501,1.5970010504013226,0.7777073810935781,0.9414489295023142,-1.14247736709882
260,23,80,93,79,94,62,89,52,74,93,76,95,90,88,65,96,1.5,,99,90,1,0.16458956781213313,0.39277330019635737,0.7522026631928729,0.8983898517576817,-0.12381397143950308,0.6757861917669381
85,261,92,94,51,85,76,65,9,60,77,16,76,63,70,16,100,2.0,,70,68,2,0.3892352574258695,0.19917655105181514,-0.46711695214602306,-0.32620617883738784,-0.4578073329325678,-1.4593512576944045
261,85,85,92,37,93,95,100,0,74,85,29,89,65,73,31,85,1.8,,56,58,2,0.13326472169019057,0.9554831305301786,-1.5493211603285937,-0.3851350852206332,0.40377493142935755,-0.7994639410537028
68,262,96,96,24,67,37,94,0,100,100,100,100,13,55,57,100,1.3,,93,68,1,0.7729965073834715,-0.5956068831166244,-0.45732008866379786,-2.5827582154789663,1.1598894365982741,1.2779906689470122
262,68,100,92,69,72,59,100,39,38,85,69,93,79,74,100,100,2.0,,100,84,1,0.5961913410004929,-0.47241447530579006,-0.012091910207820722,0.44267803491773533,-1.483048281065396,0.807198941031592
68,263,98,77,44,26,0,72,0,100,64,0,71,41,48,0,67,2.0,,60,65,1,-0.3999919546795731,-2.3677251686767753,0.37184607715571166,-0.868693639615673,1.037935085810722,-2.1466429813720493
263,68,90,97,85,65,25,100,5,24,100,29,61,95,52,55,97,2.5,,91,83,1,0.3030750902441637,-0.3446632952754297,0.49238219032275937,0.7364023345486232,-1.8686271688642204,-1.002110266914171
68,264,43,46,31,27,37,65,0,77,60,8,42,30,29,0,36,1.5,,30,32,1,-2.981768631577081,-0.9224121997336445,-1.2588473275776164,-1.0850259866813503,1.2894205923935955,-1.3632259995797569
264,68,78,88,91,75,76,96,68,72,81,65,70,38,36,89,72,2.0,,74,70,1,-0.9639811669865058,0.41400098657049395,-0.23725022671529075,-0.38030326188006897,-0.59320457852963,0.8326869575379486
4,265,44,44,29,41,33,63,18,66,54,76,80,36,57,24,57,3.1,,51,60,1,-2.332652764518307,-1.0752766126087308,-0.07879989327153035,-1.215585514432785,0.8295173917958499,0.48684328665056376
265,4,69,63,68,90,64,96,25,57,62,54,61,100,46,99,97,2.7,,69,87,1,-1.519779254001186,0.2759025252928066,1.0377176799818573,1.230287128870104,-0.7228064299236341,0.6578970253296189
