clip,gap_length,condition,interval,video_num
1_2.0_63_61.mov,2357,strangers,2,1
2_2.0_102_104.mov,2012,strangers,2,2
3_2.0_86_84.mov,2396,strangers,2,3
4_2.0_82_80.mov,2210,strangers,2,4
5_2.0_82_86.mov,2285,strangers,2,5
6_2.0_42_44.mov,2075,strangers,2,6
7_2.0_82_81.mov,2472,strangers,2,7
8_2.0_7_9.mov,2211,strangers,2,8
9_2.0_104_105.mov,2065,strangers,2,9
10_2.0_22_23.mov,2123,strangers,2,10
11_2.5_104_103.mov,2640,strangers,2.5,11
12_2.5_102_106.mov,2555,strangers,2.5,12
13_2.5_83_89.mov,2511,strangers,2.5,13
14_2.5_89_80.mov,2580,strangers,2.5,14
15_2.5_40_46.mov,2960,strangers,2.5,15
16_2.5_47_43.mov,2589,strangers,2.5,16
17_2.5_42_41.mov,2565,strangers,2.5,17
18_2.5_103_101.mov,2612,strangers,2.5,18
19_2.5_11_5.mov,2666,strangers,2.5,19
20_2.5_3_9.mov,2512,strangers,2.5,20
21_3.0_84_81.mov,3392,strangers,3,21
22_3.0_89_85.mov,3330,strangers,3,22
23_3.0_44_46.mov,3055,strangers,3,23
24_3.0_2_5.mov,3390,strangers,3,24
25_3.0_26_27.mov,3310,strangers,3,25
26_3.0_21_28.mov,3045,strangers,3,26
27_3.0_42_48.mov,3425,strangers,3,27
28_3.0_69_62.mov,3132,strangers,3,28
29_3.0_3_7.mov,3335,strangers,3,29
30_3.0_9_6.mov,3120,strangers,3,30
31_3.5_85_84.mov,3646,strangers,3.5,31
32_3.5_46_42.mov,3988,strangers,3.5,32
33_3.5_41_46.mov,3849,strangers,3.5,33
34_3.5_40_47.mov,3635,strangers,3.5,34
35_3.5_105_103.mov,3937,strangers,3.5,35
36_3.5_69_70.mov,3567,strangers,3.5,36
37_3.5_101_105.mov,3549,strangers,3.5,37
38_3.5_65_69.mov,3540,strangers,3.5,38
39_3.5_24_21.mov,3898,strangers,3.5,39
40_3.5_61_70.mov,3781,strangers,3.5,40
41_4.0_105_106.mov,4942,strangers,4,41
42_4.0_61_62.mov,4079,strangers,4,42
43_4.0_105_106.mov,4083,strangers,4,43
44_4.0_40_47.mov,4125,strangers,4,44
45_4.0_70_67.mov,4873,strangers,4,45
46_4.0_46_47.mov,4034,strangers,4,46
47_4.0_65_66.mov,4090,strangers,4,47
48_4.0_65_62.mov,4418,strangers,4,48
49_4.0_106_101.mov,4668,strangers,4,49
50_4.0_100_106.mov,4170,strangers,4,50
51_2.0_110_219.mov,2053,friends,2,51
52_2.0_85_261.mov,2053,friends,2,52
53_2.0_107_259.mov,2172,friends,2,53
54_2.0_5_222.mov,2298,friends,2,54
55_2.0_110_219.mov,2141,friends,2,55
56_2.0_48_236.mov,2000,friends,2,56
57_2.0_44_246.mov,2165,friends,2,57
58_2.0_110_221.mov,2065,friends,2,58
59_2.0_48_232.mov,2241,friends,2,59
60_2.0_107_234.mov,2182,friends,2,60
61_2.5_86_239.mov,2630,friends,2.5,61
62_2.5_21_213.mov,2603,friends,2.5,62
63_2.5_25_209.mov,2956,friends,2.5,63
64_2.5_63_224.mov,2748,friends,2.5,64
65_2.5_8_243.mov,2516,friends,2.5,65
66_2.5_110_220.mov,2648,friends,2.5,66
67_2.5_107_259.mov,2864,friends,2.5,67
68_2.5_44_252.mov,2548,friends,2.5,68
69_2.5_49_226.mov,2556,friends,2.5,69
70_2.5_23_254.mov,2693,friends,2.5,70
71_3.0_30_215.mov,3485,friends,3,71
72_3.0_29_237.mov,3126,friends,3,72
73_3.0_23_257.mov,3126,friends,3,73
74_3.0_23_257.mov,3137,friends,3,74
75_3.0_85_256.mov,3180,friends,3,75
76_3.0_44_253.mov,3005,friends,3,76
77_3.0_86_227.mov,3074,friends,3,77
78_3.0_85_255.mov,3264,friends,3,78
79_3.0_44_252.mov,3202,friends,3,79
80_3.0_5_222.mov,3308,friends,3,80
81_3.5_86_239.mov,3616,friends,3.5,81
82_3.5_85_256.mov,3904,friends,3.5,82
83_3.5_44_253.mov,3620,friends,3.5,83
84_3.5_67_210.mov,3889,friends,3.5,84
85_3.5_85_256.mov,3526,friends,3.5,85
86_3.5_8_244.mov,3998,friends,3.5,86
87_3.5_107_259.mov,3875,friends,3.5,87
88_3.5_50_229.mov,3798,friends,3.5,88
89_3.5_11_248.mov,3771,friends,3.5,89
90_3.5_66_250.mov,3632,friends,3.5,90
91_4.0_23_254.mov,4982,friends,4,91
92_4.0_86_239.mov,4614,friends,4,92
93_4.0_44_252.mov,4528,friends,4,93
94_4.0_44_253.mov,4780,friends,4,94
95_4.0_23_257.mov,4126,friends,4,95
96_4.0_66_247.mov,4145,friends,4,96
97_4.0_8_243.mov,4758,friends,4,97
98_4.0_8_243.mov,4623,friends,4,98
99_4.0_23_254.mov,4187,friends,4,99
100_4.0_110_221.mov,4725,friends,4,100