subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable_self,convo_order,round_robin_num,dyad
1,2,66,58,63,10,58,We're both sophomores in the same sorority,69,44,58,74,45,70,62,57,57,1,1,14
1,4,100,87,94,67,0,,65,58,37,55,49,36,60,55,88,2,1,34
1,3,88,74,79,65,0,,71,58,72,88,53,57,70,37,62,3,1,23
1,5,96,93,100,80,78,freshman friends,74,82,88,63,52,61,73,79,92,4,1,42
1,6,90,87,89,44,66,sorority,68,28,27,64,53,90,65,92,61,5,1,54
1,10,81,68,84,68,0,,68,32,60,62,45,31,65,66,70,6,1,97
1,7,94,77,63,28,0,,56,13,67,54,44,73,69,85,87,7,1,65
1,11,82,79,64,60,0,,58,33,61,57,38,41,62,29,64,8,1,108
1,9,75,63,62,22,0,,79,63,70,60,46,46,46,76,86,9,1,86
1,8,92,97,100,41,0,,87,40,78,60,56,100,89,77,72,10,1,79
2,6,77,80,80,62,62,She's in my sorority and in my neuroscience class.,65,65,41,70,70,74,74,61,74,1,1,51
2,8,67,81,66,82,0,,20,34,34,34,27,34,70,62,70,2,1,70
2,7,77,72,78,59,0,,16,60,71,75,76,37,72,59,71,3,1,61
2,10,36,61,64,73,0,,10,67,58,41,37,40,54,35,22,4,1,93
2,1,91,91,91,77,58,Same sorority as me.,65,42,58,44,30,41,71,41,79,5,1,14
2,3,36,17,23,64,0,,8,19,21,57,57,33,20,11,19,6,1,22
2,4,73,84,80,50,0,,24,64,81,40,36,34,72,60,78,7,1,35
2,11,59,38,39,61,0,,9,59,39,24,20,38,56,42,64,8,1,106
2,5,98,83,83,68,71,one of my good friends; in my sorority,71,59,59,41,27,61,80,60,76,9,1,46
2,9,77,76,67,78,8,my friend's trip leader,22,65,63,44,27,19,78,65,78,10,1,84
3,6,80,85,70,38,0,,34,51,48,61,27,66,64,65,58,1,1,50
3,4,81,96,73,47,3,,39,59,66,64,25,50,80,50,69,2,1,33
3,2,65,69,72,42,10,,36,55,42,60,45,61,70,60,70,3,1,22
3,1,64,72,39,49,17,,34,41,39,41,27,61,51,48,80,4,1,23
3,8,72,78,74,47,15,,37,47,43,48,25,52,54,45,63,5,1,75
3,11,52,57,72,58,1,,23,41,44,41,9,44,46,31,71,6,1,105
3,5,59,80,64,52,6,,28,63,53,46,13,46,60,32,65,7,1,47
3,7,60,65,68,52,17,,51,60,58,56,21,54,73,57,75,8,1,67
3,9,77,70,71,53,13,,33,55,55,59,14,48,68,36,66,9,1,89
3,10,63,61,76,53,8,,27,59,56,41,12,54,58,35,77,10,1,99
4,10,82,88,86,65,25,Classmate in big lecture course,63,87,70,71,5,84,80,49,83,1,1,94
4,11,79,69,53,45,0,,52,77,36,56,4,55,48,53,86,2,1,103
4,5,68,59,44,43,0,,45,31,35,53,1,79,71,40,83,3,1,41
4,3,74,69,67,54,0,,53,44,52,78,3,39,56,11,86,4,1,33
4,1,100,100,100,50,0,,60,87,82,95,2,96,100,58,100,5,1,34
4,2,100,100,100,47,4,I've seen her in my neuro class,54,93,94,100,4,98,100,63,97,6,1,35
4,8,92,88,62,46,0,,52,63,33,78,5,71,44,53,95,7,1,76
4,6,95,86,47,46,7,She sits behind me in neuro class,45,73,30,75,6,70,58,77,95,8,1,57
4,7,98,95,83,56,0,,53,90,86,92,4,39,87,72,89,9,1,64
4,9,93,96,72,46,0,,54,76,65,77,5,70,62,38,87,10,1,85
5,11,83,84,84,50,0,,51,79,79,73,0,26,81,27,100,1,1,104
5,4,72,68,59,51,0,,33,66,41,42,0,18,66,28,69,2,1,41
5,1,99,98,100,51,93,"friends since early freshman year, same sorority, same psych class",95,100,90,91,0,100,100,53,100,3,1,42
5,10,98,97,97,85,0,,50,72,72,72,0,23,74,19,79,4,1,96
5,6,100,100,100,34,78,same sorority,71,85,71,94,0,31,68,82,98,5,1,55
5,8,89,85,69,34,0,,33,32,45,77,0,23,69,27,81,6,1,78
5,2,80,76,79,51,90,same sorority,90,72,67,89,0,52,63,66,88,7,1,46
5,3,60,60,63,62,0,,24,50,51,95,0,28,68,25,63,8,1,47
5,9,76,86,83,51,15,"took a class together, hadn't really spoken before",50,77,77,67,0,38,73,66,97,9,1,88
5,7,81,90,89,51,0,,56,66,59,49,0,35,70,51,83,10,1,68
6,3,66,63,56,58,0,,28,29,60,59,36,71,72,51,100,1,1,50
6,2,100,80,80,65,71,Sorority sisters,51,65,78,70,51,76,100,75,100,2,1,51
6,9,53,60,50,50,0,,26,30,43,27,0,51,51,35,76,3,1,83
6,10,50,50,22,50,1,Study group,24,28,37,7,0,52,52,46,100,4,1,95
6,1,87,68,80,49,52,Sorority sister,63,52,61,46,7,81,69,50,100,5,1,54
6,5,67,100,92,49,51,Sorority sister,62,48,56,42,0,75,75,58,100,6,1,55
6,8,68,56,50,67,0,,72,34,67,18,0,76,45,47,100,7,1,77
6,4,31,18,6,35,0,,12,17,35,0,0,47,17,32,100,8,1,57
6,7,15,7,19,51,0,,26,27,6,9,0,51,27,39,45,9,1,69
6,11,100,78,72,60,0,,41,38,68,49,0,81,70,32,49,10,1,109
7,8,100,100,100,71,6,"I'd seen her before, but we had never spoken. ",24,63,65,62,0,74,76,54,100,1,1,71
7,2,100,100,84,50,0,,12,61,36,77,0,100,78,52,100,2,1,61
7,11,61,52,11,51,0,,15,29,0,17,0,64,58,0,79,3,1,107
7,10,100,100,100,51,0,,45,69,100,75,0,84,100,5,100,4,1,98
7,4,100,82,58,37,0,,33,54,39,43,0,75,71,48,100,5,1,64
7,1,100,100,100,51,0,,52,100,100,69,0,100,100,29,100,6,1,65
7,9,100,85,51,51,0,,26,24,34,0,0,54,71,27,100,7,1,87
7,3,100,100,100,51,0,,47,66,70,52,0,76,76,34,100,8,1,67
7,5,100,100,100,51,5,,36,100,100,53,0,82,94,39,100,9,1,68
7,6,82,60,21,45,0,,19,27,27,68,0,58,27,32,78,10,1,69
8,2,90,89,58,32,0,,19,31,24,76,0,86,100,5,100,1,1,70
8,7,90,88,87,58,0,,57,87,78,28,0,41,89,56,95,2,1,71
8,9,99,97,94,50,0,,54,38,59,58,0,78,90,43,96,3,1,80
8,10,96,96,75,55,0,,60,78,66,54,0,62,88,42,89,4,1,91
8,11,87,74,31,61,23,I taught her in PE skating however never really talked to her. ,52,29,21,25,0,73,71,29,62,5,1,102
8,3,88,89,68,52,0,,23,37,26,69,0,34,62,15,71,6,1,75
8,4,72,42,9,55,0,,32,18,15,21,0,25,38,24,44,7,1,76
8,6,81,71,4,52,0,,38,24,22,21,0,68,62,55,65,8,1,77
8,5,28,31,18,95,0,,23,20,20,17,0,33,38,33,25,9,1,78
8,1,100,100,90,69,0,,31,32,77,59,0,97,100,12,97,10,1,79
9,8,93,90,84,64,0,,59,38,60,58,4,75,77,61,84,1,1,80
9,11,84,78,67,66,0,,59,71,36,61,1,57,66,33,64,2,1,101
9,10,85,77,80,69,0,,62,71,38,66,0,74,68,39,74,3,1,92
9,6,43,55,44,54,0,,39,57,40,69,0,43,37,39,64,4,1,83
9,2,53,46,59,55,67,She is friends with my trippees,40,57,39,62,2,59,60,28,34,5,1,84
9,4,77,65,60,60,1,,57,62,38,59,0,62,69,57,67,6,1,85
9,1,85,79,78,65,10,,64,57,63,71,1,61,69,70,77,7,1,86
9,7,58,56,57,67,1,,65,56,38,57,0,41,61,40,59,8,1,87
9,5,73,78,65,71,29,We had a class together last Spring,63,72,57,61,0,61,68,57,73,9,1,88
9,3,65,40,40,68,1,,44,39,29,57,0,26,61,33,78,10,1,89
10,11,75,76,52,58,0,,51,71,67,35,0,61,64,57,81,1,1,100
10,8,95,97,98,51,0,,51,73,73,62,0,67,100,50,100,2,1,91
10,9,36,61,53,20,0,,35,28,22,49,0,34,55,56,55,3,1,92
10,2,93,92,84,36,0,,49,53,37,90,0,60,79,51,97,4,1,93
10,4,56,75,79,39,23,"Mutual friend, Same class",56,42,39,78,0,38,61,69,60,5,1,94
10,6,49,52,44,28,43,We are in the same clas,49,36,37,72,0,55,49,46,20,6,1,95
10,5,59,72,72,51,0,,59,61,48,60,0,76,74,56,58,7,1,96
10,1,53,47,24,49,0,,44,21,0,49,0,60,37,20,21,8,1,97
10,7,100,100,100,51,0,,69,59,76,78,0,58,100,76,100,9,1,98
10,3,68,68,55,31,0,,35,21,26,86,0,74,75,73,60,10,1,99
11,10,100,100,72,44,0,,25,86,78,58,49,60,61,74,100,1,1,100
11,9,100,83,83,46,0,,17,77,56,71,52,74,100,72,100,2,1,101
11,8,100,99,77,51,7,One of my PE class instructers,24,55,47,70,50,63,100,58,100,3,1,102
11,4,82,88,86,52,0,,62,74,80,75,51,57,84,16,100,4,1,103
11,5,87,89,74,57,0,"We were Link Up Buddies but I accidentally never replied to her emails, so we knew each other in name only",18,70,61,77,51,71,79,67,84,5,1,104
11,3,84,90,86,59,0,,4,42,60,72,50,63,92,32,93,6,1,105
11,2,91,93,93,46,0,,9,65,62,76,50,78,95,23,100,7,1,106
11,7,92,99,95,51,0,,8,60,65,71,52,66,100,7,100,8,1,107
11,1,100,100,100,50,0,,35,71,82,72,50,80,100,36,96,9,1,108
11,6,100,99,84,40,0,,36,64,51,69,51,80,95,39,100,10,1,109
20,21,60,61,62,55,52,We have a class together.,56,45,52,72,0,56,58,54,54,1,2,121
20,25,100,100,100,51,0,,64,100,76,66,0,80,100,83,71,2,2,157
20,26,53,53,51,52,0,,45,46,47,70,45,38,42,55,54,3,2,172
20,28,79,67,57,37,0,,64,67,53,39,0,75,76,52,85,4,2,190
20,22,85,78,74,53,0,,68,58,62,67,0,80,78,57,67,5,2,133
20,29,66,67,58,32,0,,70,43,57,36,0,63,64,53,68,6,2,205
20,30,100,80,66,31,0,,70,70,67,52,0,81,73,35,72,7,2,212
20,24,53,54,47,36,0,,65,35,44,35,0,56,53,47,59,8,2,156
21,27,92,57,25,43,9,Seeing in class,29,55,27,26,0,54,70,54,85,1,2,177
21,22,89,83,76,68,0,,41,34,67,73,1,45,61,9,86,2,2,130
21,28,95,87,65,64,1,Briefly seen on Trips,39,35,59,54,0,62,63,66,87,3,2,188
21,20,90,91,95,42,38,Small class together this term,54,46,67,90,11,84,87,52,95,4,2,121
21,23,89,96,96,50,33,Classes together,45,66,66,60,2,58,64,53,83,5,2,138
21,25,86,99,97,49,20,Classes together,37,65,69,71,9,64,75,32,91,6,2,160
21,26,26,26,23,55,0,,10,19,53,69,1,62,10,0,39,7,2,171
21,24,73,60,20,43,31,Previous attempt at this study,42,8,5,3,0,38,46,4,44,8,2,152
21,29,100,97,99,52,0,,49,59,19,52,2,19,75,58,91,9,2,200
21,30,83,64,61,45,1,,41,56,61,79,2,84,77,87,68,10,2,209
22,29,76,68,52,49,0,,18,55,56,75,13,52,69,45,69,1,2,196
22,26,63,62,62,50,0,,50,63,64,76,4,78,79,57,67,2,2,167
22,21,69,68,66,51,0,,51,64,64,82,6,93,76,60,73,3,2,130
22,28,100,100,75,42,0,,65,29,61,63,0,95,96,54,95,4,2,189
22,24,74,63,38,46,0,,50,26,27,48,0,50,52,48,82,5,2,155
22,20,100,96,95,51,0,,67,83,88,75,3,95,97,66,96,6,2,133
22,23,96,97,98,42,0,,66,89,91,72,0,90,91,80,91,7,2,142
22,25,98,84,87,50,0,,57,91,90,66,0,74,77,61,96,8,2,164
22,30,100,98,99,50,51,Friend of a friend; live in same building,79,95,95,81,0,87,97,72,97,9,2,211
22,27,26,24,21,63,0,,35,27,22,48,0,28,30,41,21,10,2,184
23,21,92,69,61,51,13,Classmate,30,59,59,66,0,83,65,38,92,1,2,138
23,24,20,14,13,70,0,,7,9,9,16,0,15,13,23,0,2,2,151
23,25,80,71,71,51,0,,51,67,68,71,0,72,78,24,82,3,2,158
23,29,87,80,69,50,0,,51,67,65,61,0,56,63,27,84,4,2,199
23,22,89,84,69,51,0,,51,72,75,89,0,88,77,19,75,5,2,142
23,27,63,65,51,51,0,,51,53,48,49,0,42,57,33,57,6,2,180
23,30,85,70,61,48,0,,52,59,59,59,0,87,67,70,65,7,2,214
23,28,56,47,37,74,0,,29,36,37,51,0,41,50,37,36,8,2,194
23,26,59,51,57,60,0,,33,46,55,85,0,64,60,32,54,9,2,176
24,29,100,100,86,60,23,"I met her once or twice during our first-year orientation week. We are also both in the same LLC (the Thought Project), so we've had a few short conversations through that.",35,66,35,76,58,35,91,78,91,1,2,197
24,30,84,68,56,70,0,,23,55,27,60,52,39,65,16,91,2,2,206
24,28,99,99,99,51,0,,33,66,31,59,51,99,98,86,92,3,2,187
24,27,66,58,43,59,0,,60,37,38,60,53,36,61,35,59,4,2,179
24,23,70,68,53,55,0,,58,58,29,55,56,62,59,53,56,5,2,151
24,21,68,72,59,54,25,We had had a conversation before through this study.,71,39,37,59,62,69,69,55,55,6,2,152
24,25,72,72,64,40,0,,62,69,68,58,58,41,59,45,60,7,2,161
24,26,75,76,65,61,0,,40,62,56,57,58,61,60,63,56,8,2,173
24,22,65,69,71,57,0,,57,67,71,55,55,61,64,59,58,9,2,155
24,20,82,81,70,63,0,,32,69,40,64,62,80,80,16,60,10,2,156
25,20,88,99,95,63,0,,35,76,65,70,62,82,91,76,80,1,2,157
25,23,89,74,88,63,0,,25,18,66,30,5,74,83,27,90,2,2,158
25,26,13,22,65,41,36,We went to high school and lived in the same dorm,40,18,35,71,65,70,85,39,27,3,2,170
25,21,85,82,67,70,0,,27,77,80,39,9,69,82,16,89,4,2,160
25,24,5,7,0,72,0,,8,3,0,0,0,19,15,4,5,5,2,161
25,28,87,100,100,64,0,,66,100,79,62,62,83,97,31,79,6,2,192
25,29,26,9,3,82,0,,18,19,5,8,4,16,27,9,22,7,2,204
25,22,74,87,89,41,0,,23,66,70,87,73,76,87,24,71,8,2,164
25,27,34,34,17,69,0,,16,24,19,12,0,35,17,37,30,9,2,183
25,30,80,85,81,31,0,,68,33,50,65,42,94,91,94,83,10,2,213
26,22,94,97,97,49,0,,11,86,90,92,0,100,100,33,67,1,2,167
26,29,100,100,100,50,0,,45,75,62,78,3,23,85,77,99,2,2,198
26,27,100,100,94,50,0,,59,100,75,69,2,63,97,94,100,3,2,178
26,25,100,100,100,42,92,"Same boarding school, lived in same dorm",98,100,95,92,4,95,100,100,100,4,2,170
26,21,62,89,84,44,0,,59,58,77,87,23,41,80,44,97,5,2,171
26,20,100,100,100,28,0,,79,92,95,92,5,100,100,44,97,6,2,172
26,24,100,100,94,34,0,,75,79,32,52,1,57,98,68,100,7,2,173
26,28,99,99,93,11,0,,85,9,45,64,2,95,99,94,97,8,2,193
26,30,86,90,88,44,0,,76,71,76,76,2,100,91,14,91,9,2,215
26,23,98,100,98,43,0,,81,87,95,88,1,100,100,30,96,10,2,176
27,21,78,79,75,65,11,,32,74,70,57,23,64,65,57,62,1,2,177
27,26,82,86,82,63,18,,68,90,84,72,22,67,75,56,67,2,2,178
27,24,62,69,61,61,9,,69,64,70,56,6,60,87,64,76,3,2,179
27,23,75,73,74,72,10,,68,65,76,65,35,63,66,64,71,4,2,180
27,30,65,66,58,66,23,,60,66,62,42,42,59,70,55,62,5,2,210
27,29,70,69,69,71,60,mutual friends,65,68,73,63,34,66,74,63,70,6,2,203
27,25,58,64,57,68,31,,55,60,63,69,39,61,63,59,66,7,2,183
27,22,78,80,78,61,17,,77,67,70,69,42,64,85,67,67,8,2,184
27,28,59,61,79,71,22,,76,68,67,57,36,64,69,62,68,9,2,195
28,30,95,95,96,31,0,,20,58,70,91,0,100,100,5,90,1,2,207
28,24,97,100,100,56,0,,15,61,60,82,0,69,100,23,92,2,2,187
28,21,94,94,100,47,2,,20,38,64,66,0,100,100,15,80,3,2,188
28,22,100,100,100,90,0,,5,8,63,82,0,100,100,38,100,4,2,189
28,20,85,100,100,84,0,,8,77,63,98,0,100,100,0,97,5,2,190
28,29,100,100,100,51,34,We are in two of the same clubs,30,52,62,74,0,24,85,30,100,6,2,202
28,25,99,95,100,38,0,,16,67,65,77,0,95,93,2,84,7,2,192
28,26,55,53,59,55,0,,10,13,37,75,0,84,75,4,80,8,2,193
28,23,31,41,35,47,0,,3,16,35,67,0,66,54,9,57,9,2,194
28,27,70,89,94,56,6,,24,59,58,85,0,45,97,26,79,10,2,195
29,22,92,86,81,73,0,,44,78,80,76,0,45,82,62,82,1,2,196
29,24,62,78,57,31,45,"Met during orientation, sit near each other in psych. ",69,72,63,68,0,31,67,85,43,2,2,197
29,26,32,45,45,82,0,,30,52,52,76,0,86,68,13,40,3,2,198
29,23,87,88,84,50,0,,63,86,77,75,0,88,90,60,74,4,2,199
29,21,84,87,85,35,10,Have just seen her around,73,70,39,76,0,88,89,97,71,5,2,200
29,30,86,90,83,57,0,,66,73,83,75,0,46,87,65,86,6,2,208
29,28,91,99,96,26,30,Growing Change center for service program,70,87,89,74,0,84,88,81,79,7,2,202
29,27,81,82,83,53,46,"My friend's roommate, we met a couple of times",60,87,86,77,0,46,82,63,68,8,2,203
29,25,87,89,92,20,0,,53,75,73,82,0,91,90,64,70,9,2,204
29,20,87,94,85,80,0,,65,81,82,83,0,81,91,63,86,10,2,205
30,24,72,59,25,43,0,,12,17,17,33,0,61,43,70,36,1,2,206
30,28,78,59,44,55,0,,23,42,32,54,0,61,57,35,58,2,2,207
30,29,67,59,23,64,0,,26,32,32,39,0,33,47,32,47,3,2,208
30,21,69,68,68,54,0,,28,57,40,55,0,57,58,59,64,4,2,209
30,27,68,62,22,60,0,,14,20,20,15,0,59,29,41,67,5,2,210
30,22,67,69,64,59,39,mutual friends,40,61,60,90,0,69,71,31,72,6,2,211
30,20,70,73,78,67,0,,29,68,69,73,0,64,72,26,75,7,2,212
30,25,74,75,79,67,0,,24,86,86,87,0,75,69,19,77,8,2,213
30,23,79,77,70,71,0,,20,78,78,78,0,58,62,26,69,9,2,214
30,26,72,65,61,67,0,,15,58,41,78,0,67,58,27,64,10,2,215
