video_name,S1,S2
4_216,4,216
4_258,4,258
5_222,5,222
5_223,5,223
5_228,5,228
8_235,8,235
8_243,8,243
8_244,8,244
11_240,240,11
11_241,11,241
11_248,11,248
21_211,211,21
21_212,21,212
21_213,21,213
23_254,23,254
23_257,257,23
23_260,23,260
25_201,201,25
25_208,208,25
25_209,25,209
29_237,237,29
29_238,238,29
29_242,242,29
30_202,30,202
30_215,30,215
30_245,245,30
44_246,246,44
44_252,44,252
44_253,44,253
48_232,48,232
48_236,48,236
49_206,206,49
49_225,49,225
49_226,226,49
50_229,229,50
50_230,50,230
50_231,50,231
63_217,63,217
63_218,218,63
63_224,63,224
66_247,247,66
66_249,249,66
66_250,250,66
67_205,205,67
67_210,67,210
67_214,214,67
85_255,255,85
85_256,85,256
85_261,85,261
86_227,86,227
86_239,86,239
86_251,86,251
101_204,204,101
101_207,207,101
107_233,107,233
107_234,107,234
107_259,107,259
110_219,110,219
110_220,110,220
110_221,110,221
203_101,203,101
68_262,68,262
68_263,263,68
68_264,264,68
4_265,265,4