video_name,S1,S2,Left,Right
1_10,1,10,10,1
1_11,1,11,1,11
1_2,1,2,2,1
1_3,1,3,3,1
1_4,1,4,4,1
1_5,1,5,5,1
1_6,1,6,6,1
1_7,1,7,1,7
1_8,1,8,1,8
1_9,1,9,1,9
10_2,10,2,10,2
10_4,10,4,10,4
10_7,10,7,10,7
100_101,100,101,,
100_102,100,102,,
100_103,103,100,,
100_104,100,104,,
100_105,100,105,,
100_106,100,106,,
100_107,107,100,,
100_109,109,100,,
100_110,110,100,,
101_102,102,101,,
101_105,105,101,,
101_108,108,101,,
101_109,109,101,,
101_110,110,101,,
102_103,102,103,,
102_104,102,104,,
102_106,102,106,,
102_107,107,102,,
102_108,108,102,,
102_109,109,102,,
102_110,110,102,,
103_101,103,101,,
103_107,107,103,,
103_109,109,103,,
103_110,110,103,,
104_103,104,103,,
104_105,104,105,,
104_108,104,108,,
104_109,109,104,,
105_102,102,105,,
105_103,103,105,,
105_106,106,105,,
105_107,107,105,,
105_109,109,105,,
105_110,110,105,,
106_101,106,101,,
106_103,106,103,,
106_104,104,106,,
106_109,109,106,,
107_101,107,101,,
107_104,107,104,,
107_106,107,106,,
107_108,107,108,,
107_109,109,107,,
108_100,108,100,,
108_103,108,103,,
108_105,108,105,,
108_106,106,108,,
108_109,108,109,,
108_110,110,108,,
109_110,109,110,,
11_10,11,10,11,10
11_2,11,2,2,11
11_3,3,11,3,11
11_4,4,11,11,4
11_5,11,5,11,5
11_7,11,7,7,11
110_104,104,110,,
110_106,110,106,,
110_107,107,110,,
2_4,4,2,4,2
2_5,5,2,2,5
2_9,2,9,2,9
20_22,22,20,22,20
20_25,20,25,20,25
20_26,20,26,20,26
20_28,28,20,20,28
20_29,29,20,20,29
20_30,20,30,20,30
21_20,20,21,20,21
21_22,22,21,22,21
21_23,23,21,23,21
21_26,26,21,21,26
21_27,27,21,27,21
21_28,28,21,28,21
21_29,21,29,21,29
21_30,30,21,30,21
22_23,22,23,23,22
22_26,22,26,26,22
22_27,22,27,27,22
22_29,22,29,22,29
23_25,25,23,23,25
23_27,23,27,23,27
23_28,28,23,23,28
23_30,30,23,23,30
24_20,20,24,20,24
24_21,24,21,24,21
24_22,22,24,22,24
24_23,24,23,24,23
24_25,25,24,24,25
24_29,29,24,24,29
24_30,30,24,24,30
25_21,25,21,21,25
25_22,25,22,22,25
25_26,25,26,25,26
25_27,25,27,27,25
25_28,25,28,28,25
25_30,25,30,25,30
26_23,23,26,26,23
26_24,24,26,24,26
26_27,27,26,27,26
26_30,26,30,26,30
27_24,27,24,24,27
27_28,27,28,27,28
27_29,29,27,29,27
27_30,27,30,27,30
28_22,28,22,28,22
28_24,28,24,24,28
28_26,28,26,28,26
29_23,23,29,23,29
29_25,29,25,29,25
29_26,26,29,29,26
29_28,28,29,28,29
3_10,3,10,3,10
3_2,3,2,3,2
3_4,4,3,4,3
3_5,3,5,5,3
3_7,3,7,7,3
3_9,9,3,9,3
30_22,22,30,,
30_28,30,28,,
30_29,29,30,,
4_5,4,5,4,5
4_6,6,4,4,6
4_7,4,7,4,7
40_41,40,41,,
40_42,40,42,,
40_44,44,40,,
40_46,40,46,,
40_47,40,47,,
40_50,40,50,,
41_43,41,43,,
41_45,45,41,,
41_46,41,46,,
41_48,41,48,,
41_50,41,50,,
42_41,42,41,,
42_43,42,43,,
42_44,42,44,,
42_45,42,45,,
42_48,48,42,,
42_49,42,49,,
43_40,40,43,,
43_44,44,43,,
43_46,43,46,,
43_48,43,48,,
43_49,43,49,,
44_41,41,44,,
44_46,44,46,,
44_47,47,44,,
44_48,44,48,,
44_49,49,44,,
45_40,40,45,,
45_43,45,43,,
45_44,45,44,,
45_46,46,45,,
45_47,45,47,,
45_49,45,49,,
46_42,42,46,,
46_47,47,46,,
46_50,50,46,,
47_41,41,47,,
47_42,47,42,,
47_43,47,43,,
47_48,48,47,,
47_49,49,47,,
48_40,48,40,,
48_45,48,45,,
48_46,48,46,,
48_49,49,48,,
48_50,48,50,,
49_40,49,40,,
49_41,49,41,,
49_46,46,49,,
5_10,5,10,10,5
5_6,5,6,6,5
5_7,7,5,7,5
5_9,5,9,9,5
50_42,50,42,,
50_43,43,50,,
50_44,44,50,,
50_45,45,50,,
50_47,47,50,,
50_49,49,50,,
6_10,10,6,10,6
6_11,11,6,11,6
6_2,6,2,2,6
6_3,6,3,3,6
6_7,6,7,7,6
60_61,61,60,,
60_62,62,60,,
60_63,60,63,,
60_64,64,60,,
60_65,60,65,,
60_66,60,66,,
60_68,60,68,,
60_69,60,69,,
60_70,70,60,,
61_62,61,62,,
61_67,61,67,,
61_68,68,61,,
61_69,61,69,,
61_70,70,61,,
62_66,66,62,,
62_68,68,62,,
63_61,61,63,,
63_62,63,62,,
63_65,63,65,,
63_69,69,63,,
64_61,64,61,,
64_62,62,64,,
64_63,64,63,,
64_69,64,69,,
65_61,61,65,,
65_62,65,62,,
65_64,65,64,,
65_66,65,66,,
65_68,68,65,,
65_69,65,69,,
65_70,70,65,,
66_61,61,66,,
66_63,63,66,,
66_64,64,66,,
66_67,67,66,,
66_68,68,66,,
67_64,64,67,,
67_65,67,65,,
68_63,68,63,,
68_64,64,68,,
68_69,69,68,,
69_62,62,69,,
69_66,69,66,,
69_70,70,69,,
7_2,7,2,7,2
7_9,9,7,9,7
70_62,70,62,,
70_63,70,63,,
70_64,64,70,,
70_66,66,70,,
70_67,67,70,,
70_68,68,70,,
8_10,8,10,10,8
8_11,8,11,11,8
8_2,8,2,8,2
8_3,8,3,8,3
8_4,8,4,8,4
8_5,8,5,8,5
8_6,6,8,8,6
8_7,8,7,8,7
8_9,8,9,9,8
80_81,81,80,,
80_84,80,84,,
80_85,80,85,,
80_86,86,80,,
80_87,87,80,,
80_88,88,80,,
80_90,90,80,,
81_83,83,81,,
81_85,81,85,,
81_86,81,86,,
81_87,87,81,,
81_88,88,81,,
81_90,90,81,,
82_80,80,82,,
82_81,81,82,,
82_83,82,83,,
82_85,82,85,,
82_86,86,82,,
82_88,88,82,,
83_80,80,83,,
83_85,83,85,,
83_86,86,83,,
83_89,83,89,,
84_81,84,81,,
84_82,82,84,,
84_83,83,84,,
85_84,84,85,,
85_86,85,86,,
85_87,87,85,,
85_90,90,85,,
86_84,84,86,,
86_87,87,86,,
86_90,90,86,,
87_82,87,82,,
87_83,83,87,,
87_84,84,87,,
88_83,88,83,,
88_84,88,84,,
88_85,88,85,,
88_86,88,86,,
88_87,87,88,,
88_89,89,88,,
88_90,88,90,,
89_80,89,80,,
89_81,81,89,,
89_82,82,89,,
89_84,89,84,,
89_85,89,85,,
89_86,89,86,,
89_87,89,87,,
89_90,90,89,,
9_10,9,10,10,9
9_11,9,11,11,9
9_4,9,4,4,9
9_6,9,6,9,6
90_82,82,90,,
90_83,90,83,,
90_84,90,84,,
90_87,87,90,,